viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Components/EmptyStateIllustration,Custom Palette,light,,,1200,1200
1200,Components/EmptyStateIllustration,Custom Palette,dark,,,1200,1200
1200,Components/EmptyStateIllustration,Sizes,light,,,1200,1200
1200,Components/EmptyStateIllustration,Sizes,dark,,,1200,1200
1200,Components/FormControl,Checkboxes,light,,,1200,1200
1200,Components/FormControl,Checkboxes,dark,,,1200,1200
1200,Components/FormControl,Radios,light,,,1200,1200
1200,Components/FormControl,Radios,dark,,,1200,1200
1200,Components/FormControl,Toggles,light,,,1200,1200
1200,Components/FormControl,Toggles,dark,,,1200,1200
1200,Components/Icon,Default,light,,,1200,1200
1200,Components/Icon,Default,dark,,,1200,1200
1200,Components/Icon,Sizes,light,,,1200,1200
1200,Components/Icon,Sizes,dark,,,1200,1200
1200,Components/Icon,Variants,light,,,1200,1200
1200,Components/Icon,Variants,dark,,,1200,1200
1200,Components/Icon,Colors,light,,,1200,1200
1200,Components/Icon,Colors,dark,,,1200,1200
1200,Components/Icon,Gallery,light,,,1200,1200
1200,Components/Icon,Gallery,dark,,,1200,1200
1200,Components/Input,Default,light,,,1200,1200
1200,Components/Input,Default,dark,,,1200,1200
1200,Components/Input,Extra Small,light,,,1200,1200
1200,Components/Input,Extra Small,dark,,,1200,1200
1200,Components/Input,Medium,light,,,1200,1200
1200,Components/Input,Medium,dark,,,1200,1200
1200,Components/Input,Large,light,,,1200,1200
1200,Components/Input,Large,dark,,,1200,1200
1200,Components/Input,With Success,light,,,1200,1200
1200,Components/Input,With Success,dark,,,1200,1200
1200,Components/Input,With Error,light,,,1200,1200
1200,Components/Input,With Error,dark,,,1200,1200
1200,Components/Input,Read Only,light,,,1200,1200
1200,Components/Input,Read Only,dark,,,1200,1200
1200,Components/Input,All Sizes,light,,,1200,1200
1200,Components/Input,All Sizes,dark,,,1200,1200
1200,Components/Input,All States,light,,,1200,1200
1200,Components/Input,All States,dark,,,1200,1200
1200,Components/Input,With Leading Addon,light,,,1200,1200
1200,Components/Input,With Leading Addon,dark,,,1200,1200
1200,Components/Input,With Trailing Addon,light,color-contrast,,1200,1200
1200,Components/Input,With Trailing Addon,dark,,,1200,1200
1200,Components/Input,With Both Addons,light,,,1200,1200
1200,Components/Input,With Both Addons,dark,,,1200,1200
1200,Elements/MetricsCard,Variation 1 Data Cta,light,,,1200,1200
1200,Elements/MetricsCard,Variation 1 Data Cta,dark,,,1200,1200
